2022-10-25 13:31:24 status unpacked gcc-10:amd64 10.2.1-6
2022-10-25 13:31:24 install gcc:amd64 <none> 4:10.2.1-1
2022-10-25 13:31:24 status half-installed gcc:amd64 4:10.2.1-1
2022-10-25 13:31:24 status unpacked gcc:amd64 4:10.2.1-1
2022-10-25 13:31:24 install libc-dev-bin:amd64 <none> 2.31-13+deb11u5
2022-10-25 13:31:24 status half-installed libc-dev-bin:amd64 2.31-13+deb11u5
2022-10-25 13:31:24 status unpacked libc-dev-bin:amd64 2.31-13+deb11u5
2022-10-25 13:31:24 install linux-libc-dev:amd64 <none> 5.10.149-2
2022-10-25 13:31:24 status half-installed linux-libc-dev:amd64 5.10.149-2
2022-10-25 13:31:24 status unpacked linux-libc-dev:amd64 5.10.149-2
2022-10-25 13:31:24 install libcrypt-dev:amd64 <none> 1:4.4.18-4
2022-10-25 13:31:24 status half-installed libcrypt-dev:amd64 1:4.4.18-4
2022-10-25 13:31:24 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2022-10-25 13:31:24 install libtirpc-dev:amd64 <none> 1.3.1-1+deb11u1
2022-10-25 13:31:24 status half-installed libtirpc-dev:amd64 1.3.1-1+deb11u1
2022-10-25 13:31:24 status unpacked libtirpc-dev:amd64 1.3.1-1+deb11u1
2022-10-25 13:31:24 install libnsl-dev:amd64 <none> 1.3.0-2
2022-10-25 13:31:24 status half-installed libnsl-dev:amd64 1.3.0-2
2022-10-25 13:31:24 status unpacked libnsl-dev:amd64 1.3.0-2
2022-10-25 13:31:24 install libc6-dev:amd64 <none> 2.31-13+deb11u5
2022-10-25 13:31:24 status half-installed libc6-dev:amd64 2.31-13+deb11u5
2022-10-25 13:31:24 status unpacked libc6-dev:amd64 2.31-13+deb11u5
2022-10-25 13:31:24 install libstdc++-10-dev:amd64 <none> 10.2.1-6
2022-10-25 13:31:24 status half-installed libstdc++-10-dev:amd64 10.2.1-6
2022-10-25 13:31:25 status unpacked libstdc++-10-dev:amd64 10.2.1-6
2022-10-25 13:31:25 install g++-10:amd64 <none> 10.2.1-6
2022-10-25 13:31:25 status half-installed g++-10:amd64 10.2.1-6
2022-10-25 13:31:26 status unpacked g++-10:amd64 10.2.1-6
2022-10-25 13:31:26 install g++:amd64 <none> 4:10.2.1-1
2022-10-25 13:31:26 status half-installed g++:amd64 4:10.2.1-1
2022-10-25 13:31:26 status unpacked g++:amd64 4:10.2.1-1
2022-10-25 13:31:26 install libglib2.0-0:amd64 <none> 2.66.8-1
2022-10-25 13:31:26 status half-installed libglib2.0-0:amd64 2.66.8-1
2022-10-25 13:31:26 status unpacked libglib2.0-0:amd64 2.66.8-1
2022-10-25 13:31:26 install pkg-config:amd64 <none> 0.29.2-1
2022-10-25 13:31:26 status half-installed pkg-config:amd64 0.29.2-1
2022-10-25 13:31:26 status unpacked pkg-config:amd64 0.29.2-1
2022-10-25 13:31:26 install re2c:amd64 <none> 2.0.3-1
2022-10-25 13:31:26 status half-installed re2c:amd64 2.0.3-1
2022-10-25 13:31:26 status unpacked re2c:amd64 2.0.3-1
2022-10-25 13:31:26 startup packages configure
2022-10-25 13:31:26 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-10-25 13:31:26 status unpacked libpsl5:amd64 0.21.0-1.2
2022-10-25 13:31:26 status half-configured libpsl5:amd64 0.21.0-1.2
2022-10-25 13:31:26 status installed libpsl5:amd64 0.21.0-1.2
2022-10-25 13:31:26 configure libmagic-mgc:amd64 1:5.39-3 <none>
2022-10-25 13:31:26 status unpacked libmagic-mgc:amd64 1:5.39-3
2022-10-25 13:31:26 status half-configured libmagic-mgc:amd64 1:5.39-3
2022-10-25 13:31:26 status installed libmagic-mgc:amd64 1:5.39-3
2022-10-25 13:31:26 configure libglib2.0-0:amd64 2.66.8-1 <none>
2022-10-25 13:31:26 status unpacked libglib2.0-0:amd64 2.66.8-1
2022-10-25 13:31:26 status half-configured libglib2.0-0:amd64 2.66.8-1
2022-10-25 13:31:26 status installed libglib2.0-0:amd64 2.66.8-1
2022-10-25 13:31:26 configure perl-modules-5.32:all 5.32.1-4+deb11u2 <none>
2022-10-25 13:31:26 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-10-25 13:31:26 status half-configured perl-modules-5.32:all 5.32.1-4+deb11u2
2022-10-25 13:31:26 status installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-10-25 13:31:26 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2022-10-25 13:31:26 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-10-25 13:31:26 status half-configured libbrotli1:amd64 1.0.9-2+b2
2022-10-25 13:31:26 status installed libbrotli1:amd64 1.0.9-2+b2
2022-10-25 13:31:26 configure binutils-common:amd64 2.35.2-2 <none>
2022-10-25 13:31:26 status unpacked binutils-common:amd64 2.35.2-2
2022-10-25 13:31:26 status half-configured binutils-common:amd64 2.35.2-2
2022-10-25 13:31:26 status installed binutils-common:amd64 2.35.2-2
2022-10-25 13:31:26 configure libnghttp2-14:amd64 1.43.0-1 <none>
2022-10-25 13:31:26 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-10-25 13:31:26 status half-configured libnghttp2-14:amd64 1.43.0-1
2022-10-25 13:31:26 status installed libnghttp2-14:amd64 1.43.0-1
2022-10-25 13:31:26 configure libmagic1:amd64 1:5.39-3 <none>
2022-10-25 13:31:26 status unpacked libmagic1:amd64 1:5.39-3
2022-10-25 13:31:26 status half-configured libmagic1:amd64 1:5.39-3
2022-10-25 13:31:26 status installed libmagic1:amd64 1:5.39-3
2022-10-25 13:31:26 configure linux-libc-dev:amd64 5.10.149-2 <none>
2022-10-25 13:31:26 status unpacked linux-libc-dev:amd64 5.10.149-2
2022-10-25 13:31:26 status half-configured linux-libc-dev:amd64 5.10.149-2
2022-10-25 13:31:26 status installed linux-libc-dev:amd64 5.10.149-2
